SKU_number,MRP,UnitsInProduction,UnitsSold,AvgRating,Year,TotalUnits,Revenue
100,100,129,239,4,2012,368,36800
100,100,188,351,4,2013,539,53900
100,100,160,351,4,2014,511,51100
101,150,155,264,2,2012,419,62850
101,150,100,292,2,2013,392,58800
101,150,159,292,2,2014,451,67650
102,200,181,210,5,2012,391,78200
102,200,157,426,5,2013,583,116600
102,200,136,426,5,2014,562,112400
103,250,137,274,2,2012,411,102750
103,250,161,254,2,2013,415,103750
103,250,135,254,2,2014,389,97250
104,300,178,255,5,2012,433,129900
104,300,128,126,5,2013,254,76200
104,300,140,126,5,2014,266,79800
105,350,133,266,4,2012,399,139650
105,350,144,356,4,2013,500,175000
105,350,154,356,4,2014,510,178500
106,400,115,189,5,2012,304,121600
106,400,159,466,5,2013,625,250000
106,400,149,466,5,2014,615,246000
107,450,101,226,3,2012,327,147150
107,450,123,259,3,2013,382,171900
107,450,162,259,3,2014,421,189450
108,500,196,196,2,2012,392,196000
108,500,104,369,2,2013,473,236500
108,500,110,369,2,2014,479,239500
109,750,159,215,1,2012,374,280500
109,750,180,176,1,2013,356,267000
109,750,175,176,1,2014,351,263250
110,1000,104,207,2,2012,311,311000
110,1000,185,236,2,2013,421,421000
110,1000,105,236,2,2014,341,341000
111,1250,112,208,1,2012,320,400000
111,1250,178,133,1,2013,311,388750
111,1250,116,133,1,2014,249,311250
112,1500,104,211,3,2012,315,472500
112,1500,191,224,3,2013,415,622500
112,1500,183,224,3,2014,407,610500
113,1750,107,215,4,2012,322,563500
113,1750,129,483,4,2013,612,1071000
113,1750,134,483,4,2014,617,1079750
114,2000,138,209,2,2012,347,694000
114,2000,130,177,2,2013,307,614000
114,2000,140,177,2,2014,317,634000
115,2250,148,214,5,2012,362,814500
115,2250,162,143,5,2013,305,686250
115,2250,135,143,5,2014,278,625500
116,2500,175,192,1,2012,367,917500
116,2500,100,263,1,2013,363,907500
116,2500,125,263,1,2014,388,970000
117,3000,167,198,3,2012,365,1095000
117,3000,179,388,3,2013,567,1701000
117,3000,175,388,3,2014,563,1689000
118,3500,145,199,1,2012,344,1204000
118,3500,139,292,1,2013,431,1508500
118,3500,172,292,1,2014,464,1624000
119,4000,191,223,2,2012,414,1656000
119,4000,103,339,2,2013,442,1768000
119,4000,134,339,2,2014,473,1892000
120,4500,140,225,3,2012,365,1642500
120,4500,108,389,3,2013,497,2236500
120,4500,181,389,3,2014,570,2565000
